100
24
Building0 Building1 Building2 Building3 Building4 Building5 Building6 Building7 Building8 Building9 Building10 Building11 Building12 Building13 Building14 Building15 Building16 Building17 Building18 Building19 Building20 Building21 Building22 Building23 Building24 Building25 Building26 Building27 Building28 Building29 Building30 Building31 Building32 Building33 Building34 Building35 Building36 Building37 Building38 Building39 Building40 Building41 Building42 Building43 Building44 Building45 Building46 Building47 Building48 Building49 Building50 Building51 Building52 Building53 Building54 Building55 Building56 Building57 Building58 Building59 Building60 Building61 Building62 Building63 Building64 Building65 Building66 Building67 Building68 Building69 Building70 Building71 Building72 Building73 Building74 Building75 Building76 Building77 Building78 Building79 Building80 Building81 Building82 Building83 Building84 Building85 Building86 Building87 Building88 Building89 Building90 Building91 Building92 Building93 Building94 Building95 Building96 Building97 Building98 Building99 
Building55 Building71 Building65 Building54 Building67 Building42 Building45 Building84 Building91 Building29 Building11 Building92 Building47 Building3 Building53 Building39 Building76 Building83 Building68 Building26 Building64 Building44 Building57 Building50 
Building58 
x x 1.6332387662761698 x x 3.666083503739196 x x x x x 2.542289135082295 x x x x 1.9289259587511947 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
x x x x 1.6153845793537023 x x x 1.3497482203211884 x x x 1.089332365353792 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
1.6332387662761698 x x x x x x x x x x x x x x x x x x 1.40154539557251 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
x x x x x 1.3496575354250884 x x x x x x x 0.9514969783588192 x x x x 2.3099401999417095 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
x 1.6153845793537023 x x x 3.0634999782277252 x x x x x 1.936841913300285 x x x 1.6732963206328013 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
3.666083503739196 x x 1.3496575354250884 3.0634999782277252 x x x x 0.36758010079082554 x x 1.3428751829507706 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
x x x x x x x 0.41998634206349494 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
x x x x x x 0.41998634206349494 x x 2.1526299823530044 x x x x x x x x 0.6938289249641109 1.1379253639134788 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 
